index	sentence1	sentence2	label
5566	Are you able to boot your Windows in Safe Mode?	I can't launch Windows in Safe Mode.	contradiction
5567	Do you enjoy festivals?	I can't stand crowds.	contradiction
5568	How about booth seating?	That sounds cozy.	entailment
5569	Are you a manager?	I'm more like an administrator.	contradiction
5570	Do you want to go partying tonight?	I need to take it easy this weekend.	contradiction
5571	Does your laptop boot using a Windows DVD?	What exactly is it?	neutral
5572	Are you into art?	I'm a philistine.	contradiction
5573	Have you checked the concerts happening in the area?	I bought tickets to Dolly Parton.	entailment
5574	Is fuel getting to the last fuel filter in line?	Yes, it's getting there.	entailment
5575	Does your battery run down in just a few days?	The car battery does not lose charge.	contradiction
5576	Can I invite you over tomorrow?	I'm free in the afternoon.	entailment
5577	Do you eat out for the weekends?	We try to eat out once a week.	neutral
5578	Does the car stop when you apply the brakes?	When the brakes are engaged, the car does come to a stop.	entailment
5579	Do you get the live BIOS splash screen just after you start your computer?	The BIOS screen appears on booting.	entailment
5580	Are you taking any work home to do over the weekend?	I have a project to finish for Monday.	entailment
5581	The issue is with the alternator isn't getting turned at high speed. To fix it, please replace its drive belt.	What is that exactly? I have no clue.	neutral
5582	Do you like your colleagues?	I like a lot of them	entailment
5583	Do you want to go partying tonight?	I'm too beat.	contradiction
5584	Did you spend a lot of time building your career?	I got lucky early on.	contradiction
5585	Do you mind seafood?	I'm allergic to all seafood.	entailment
5586	Does your laptop boot when all external devices are disconnected?	Can you please explain me what you mean by those devices?	neutral
5587	Do you want to work remotely?	It would be nice if I could	entailment
5588	Would you need more education?	I'd need to take a couple courses.	entailment
5589	Have you ever read a book in a different language?	I  never have	contradiction
5590	Is your department busy this time of year?	We keep a very steady pace throughout the year.	neutral
5591	Do you need to learn new skills for this new job?	I may need to take a course.	entailment
5592	Did you learn an instrument as a child?	My mom made me take piano lessons.	entailment
5593	Does the AC/DC power adapter output measure up to the rated volatge?	It does appear to be the same. Its output is the same as the rated voltage.	entailment
5594	Are you using your laptop in a hot environment?	No, the climate is normal.	contradiction
5595	Do you hear the brakes scrape or grind?	There is not a scraping and grinding sound. That's not the sound I hear when the brakes are applied.	contradiction
5596	Isn't it really expensive?	The area is relatively cheap compared to other countries.	contradiction
5597	Do you like football?	I prefer soccer.	contradiction
5598	Do you listen to the same music as your parents?	I definitely have better taste than that	contradiction
5599	Would you like something hot?	Something cold would be nicer.	contradiction
5600	Do you plan to see your friend during this visit?	She is probably too busy with work.	contradiction
5601	Do you have to be home for a certain time?	My husband is expecting me by 7.	entailment
5602	Do you still visit the area often?	I haven't been back in so long.	contradiction
5603	Are you using your laptop in a hot environment?	The room temperature is 68 degrees.	contradiction
5604	Is there a 12 volt+ reading at the primary coil?	No the primary coil is not reading 12V	contradiction
5605	Your laptop display connectors are loose. This is causing the display to be blank. Make sure your display connections are all secured tightly in place.	Perfect, I fastened the connections and the screen turned back on. I appreciate your help.	neutral
5606	Did you play any instrument when you were younger?	I remember playing the piano as a kid.	entailment
5607	Have you met other neighbours?	Most of us have known each other for years.	entailment
5608	Have you joined the neighborhood app?	I am not familiar with this app.	contradiction
5609	Are you interested in short stories?	some of them are okay	entailment
5610	Do you like classical music?	I prefer music with a beat.	contradiction
5611	Do you like where you live?	so far I do	entailment
5612	Is your job difficult?	It depends on the day.	entailment
5613	Do you like rap music?	Hip Hop is more my style.	contradiction
5614	Is there a 12 volt+ reading at the primary coil?	Yes, the primary coil is showing a 12 volt+ reading.	entailment
5615	When you apply the brakes, does it pull the steering wheel?	I don't think so, I haven't noticed the steering pulling when I brake.	contradiction
5616	Have you traveled very much?	I have not been anywhere this year	contradiction
5617	Your CCFL backlight is failing. You need to replace the CCFL tubes or the LCD panel itself to fix this problem.	Okay, so I replaced CCFL tube and the display works now. Thank you for your help.	neutral
5618	Is the antifreeze level in your overflow tank up to the mark?	I don't know how to check if the antifreeze level in my overflow tank is upto the proper mark.	neutral
5619	Have you had a chance to travel much?	I try to go somewhere each weekend.	entailment
5620	Does your laptop freeze even when it is not hot?	The laptop works good in normal temperatures.  I have no problems at all then.	contradiction
5621	Your LCD is malfunctioning because of a board level video failure. You have to replace your laptop's diplay to fix the issue.	I changed my display and now it's functioning perfectly. Thanks for the suggestion	neutral
5622	Would you like to meet me for a drink?	We could go tomorrow.	entailment
5623	Did you hear a about our friend John's marriage?	I was in the wedding.	entailment
5624	Do you enjoy being outdoor?	I like being alone in nature.	entailment
5625	Are you using your laptop in a hot environment?	My laptop is not being used in a heated surrounding. My surroundings are always cool. 	contradiction
5626	Are you using your laptop in a hot environment?	The laptop is inside an air conditioned home.	contradiction
5627	Do you get the live BIOS splash screen just after you start your computer?	What is a BIOS splash screen and what exactly it look like?	neutral
5628	Would you like to join the rally this weekend?	That sounds too loud.	contradiction
5629	Have you ever tried skating?	I would be useless at it	contradiction
5630	Are you bored in your current job?	I find it under-stimulating.	entailment
5631	Do you want to head to a bar?	I have to get home.	contradiction
5632	Is the antifreeze level in your overflow tank up to the mark?	I just checked the antifreeze level on my overflow tank. The antifreeze level does come up to the mark. 	entailment
5633	Have you been to the old neighborhood in the last year?	I haven't been in years	contradiction
5634	You have a problem in the master cylinder or power booster. See the service manual for appropriate instructions.	Never thought that could be the issue but I got it checked out and the power booster was the problem! Got it fixed and now it works like before. Thanks for your help!	neutral
5635	Do you play any instrument?	The trumpet.	entailment
5636	Was work fun?	Work is always a chore.	contradiction
5637	Have you been to that new restaurant?	I heard it's really good, but I can't afford it.	contradiction
5638	Please tell me if your laptop battery is overheating?	I have not noticed any overheating issues when using my laptop.	contradiction
5639	Are you planning to move there permanently?	I hope to do that	entailment
5640	Can I buy you a drink?	I'll always take a free drink.	entailment
5641	Does the car stop when you apply the brakes?	The car stops when the brakes are applied.	entailment
5642	Do you smell antifreeze? It's usually a sweet smell.	I don't understand what that is exactly.	neutral
5643	Is making money important to you?	I need money to take care of my family.	entailment
5644	Was the trip grueling?	I barely noticed.	contradiction
5645	Is your laptop display rotated 90 degrees or upside-down?	The monitor is not displaying at an unusual angle.	contradiction
5646	How about visiting more often?	I've missed our visits.	entailment
5647	Have you checked out the New York Times bestseller list?	It's my go to for choosing what to read.	entailment
5648	Is it a more senior position?	It's definitely a step up from my last position.	entailment
5649	Do you like books with movie remakes?	I enjoy reading the book, then watching the movie.	entailment
5650	Did you just make this decision?	I'm just acting on it now.	contradiction
5651	When the power supply is connected to the laptop, does the power LED flicker?	I connected the power supply. The LED does not flicker at all.	contradiction
5652	Do you like biryani?	My mouth waters just thinking about it.	entailment
5653	Can I come to you to the park?	Meet me there in 5 minutes.	entailment
5654	Is there an open circuit with your car's key in 'run/ON' position?	I am not seeing any kind of open circuit anywhere in the run/ON position.	contradiction
5655	Do you know the neighbourhood?	I've stayed in it several times.	entailment
5656	Do you have a working rescue CD?	Yes, the recovery CD I have works.	entailment
5657	Do you like local theater?	I find the acting to be amateurish.	contradiction
5658	Do you enjoy sports events?	I'm not a fan of watching sports.	contradiction
5659	Are you into young adult novels?	I prefer them over most adult literature.	entailment
5660	Can you see Times Square?	I have a bird's eye view.	entailment
5661	Would you like to grab a coffee together?	How about a beer instead?	contradiction
5662	Does the laptop power up without the battery in it?	No, my laptop won't turn on without a battery.	contradiction
5663	Your laptop has a power LED, which should turn ON when an external power supply is connected. When you plug in the power supply, does the power LED turn ON?	The laptop's power LED does not turn ON when an external power supply is connected.	contradiction
5664	Do you feel like having some dinner?	I'm not very hungry right now.	contradiction
5665	Do you enjoy listening to heavy guitar distortion?	It hurts my ears.	contradiction
5666	Do you like to dance to music?	I forget anyone is watching and go for it when I hear a good song.	entailment
5667	Is your car's thermostat working properly?	It seems like my thermostat is working properly. I don't detect any issues.	entailment
5668	Are you going to the gym?	I need to pump iron.	entailment
5669	Is the brake fluid level OK?	What's the frequency of replacement recommended for the brake fluid?	neutral
5670	Do you read alot?	I check out three new books from the library each week.	entailment
5671	Do you have a specific neighborhood in mind?	Tribeca looks interesting.	entailment
5672	Do you have experience with this role?	I have done it all my life.	entailment
5673	Is your laptop display rotated 90 degrees or upside-down?	The display on my screen is not rotated 90 degrees.	contradiction
5674	Have you ever tried vegan cuisine?	I eat it often.	entailment
5675	Does you car have a engine temperature gauge on the dashboard?	It's on the dash of the car.	entailment
5676	Are you into science fiction?	I love sci-fi.	entailment
5677	When you turn ON the laptop, do you hear a series of beeps?	I'm pretty sure I hear some beeps when I switch it on.	entailment
5678	Are you taking any animals?	I might take my cat	entailment
5679	Did you bring everything you need?	I hope I have	entailment
5680	Are you using your laptop in a hot environment?	No, the climate is normal.	contradiction
5681	Would you like to meet up with our old friends?	I would like that	entailment
5682	Would you be off on weekends?	I have to be with my kids on the weekend.	entailment
5683	Do you smell antifreeze? It's usually a sweet smell.	I'm not sure what that is.	neutral
5684	"When you turn on the laptop, does it show ""momentary signs of life"" before dying?"	Yes, I see something like that.	entailment
5685	Do you do your job remotely?	I would rather work from home.	neutral
5686	Do you have any kids?	We're planning to.	contradiction
5687	Are you lactose intolerant	I love to drink milk every day.	contradiction
5688	Is the brake fluid level OK?	The level is okay.	entailment
5689	Do you have a working rescue CD?	I do have a CD like that. It is a rescue CD and it does work. 	entailment
5690	Do you like going for walks?	I need a refreshing walk each day.	entailment
5691	Did you recently upgrade your laptop's BIOS?	I made an update to the BIOS of my laptop last week. It made my laptop run quicker.	entailment
5692	Is the display very dim and barely visible?	There is something wrong with the screen. It is very dim and barely visible.	entailment
5693	Are your parents okay?	They are still healthy.	entailment
5694	Did you think Cinderella was entertaining?	I prefer the original cartoon version.	contradiction
5695	Are you going to be the boss?	I'll be an assistant to her.	contradiction
5696	Are you new in town?	I haven't been here a week yet.	entailment
5697	Have you seen the new school library?	I've seen it, it's beautiful.	entailment
5698	Are you committed to being in the city?	It is my goal.	entailment
5699	Are you in a band?	Haven't been in a band in over 20 years.	contradiction
5700	Are you interested in educational books?	I prefer comics.	contradiction
5701	Are you into burger and fries?	Can we do italian instead?	contradiction
5702	Did you have any trouble getting here?	I got so lost.	entailment
5703	Do you own property already?	I would prefer to pay a mortgage more than rent.	neutral
5704	Do you feel like having a warm meal?	I'm not very hungry.	contradiction
5705	You have a carburateur problem.	I have to thank you for this solution, worked perfectly!	neutral
5706	Will you be deciding about switching jobs soon?	Decisions will be made before the end of the week.	entailment
5707	Are you leaving town for the weekend?	I'm not sure yet	neutral
5708	If you pull over and stay idle, does the car's temperature return to normal?	The car is pulled over and idling. But the temperature is not going back to normal.	contradiction
5709	When you turn ON the laptop, do you hear a series of beeps?	It does not beep. There is no noise when the laptop is turned on.	contradiction
5710	Do you like outdoors activities?	I prefer inside activities over outside.	contradiction
5711	Have you been to a concert this month?	We saw Gwen Stefani.	entailment
5712	Do you have a working rescue CD?	There is no working rescue CD in my possession.	contradiction
5713	Your hard drive is perfectly fine. You have a battery failure.	You were right about that. It was a battery failure, not the hard drive. Thanks so much for pointing me in the right direction.	neutral
5714	Will you be joining any book clubs?	I like reading books at my own pace.	contradiction
5715	Are you interested in going to the movies?	That new Star Wars film looks amazing.	entailment
5716	Would you like living uptown?	I think I would	entailment
5717	Have you been considering this for awhile?	It's been on my mind for a year or so.	entailment
5718	Did you have a productive day?	I wasted too much time.	contradiction
5719	Are you into sight-seeing?	I like to check out as much as I can when I travel.	entailment
5720	Are you a fan of horror books?	Stephen King is my favorite author.	entailment
5721	Do  you still live in Elm St?	I moved away from that street a few years ago.	contradiction
5722	Do you enjoy going to the cinema?	I prefer going to plays.	contradiction
5723	Is your laptop's fan running when it overheats?	It spins really fast but the laptop continues to overheat.	entailment
5724	Do you still have an interest in eating healthy foods?	I have moved on from that phase	contradiction
5725	Are you a fan of bars?	I don't like loud places.	contradiction
5726	Do you have cash saved up for a down payment?	I wouldn't be able to do this if I didn't.	entailment
5727	Are you happy with the flat?	It could be bigger and less expensive.	contradiction
5728	Is your fascination with reading about being self employed still your dream?	I'd say so	entailment
5729	Did you serve in the military?	I am a pacifist.	contradiction
5730	Did the blink code indicate the engine is OK?	I have no clue what a blink code is?	neutral
5731	Do you have a lift home?	I'm walking.	contradiction
5732	Aren't property prices extremely high there?	Anyone who's planning to move there knows how much it costs.	entailment
5733	The issue is that your battery terminals are oxidised. Please clean car battery terminals, connectors and engine ground. Your car should start once you clean them.	Thank you for the assistance. It took me a while, but I was able to bypass the starter using the tools you suggested.	neutral
5734	Have you eaten Oven Fired Pizza?	I'd love to try it.	contradiction
5735	Do you play the cello?	I did when I was a kid.	entailment
5736	Have you tried El Jalepeno?	Not on purpose.	entailment
5737	Is country your favorite genre of music?	It's not my favorite, but I like it.	contradiction
5738	Is the coolant flowing through the radiator?	I know the steps.  I can check the coolant flow.	entailment
5739	Are you a fan of comic books	Superman is classic.	entailment
5740	Have you been to the 360 amphitheater?	It's on my must-see list.	contradiction
5741	Are you unhappy where you're at?	I would like to stop renting.	entailment
5742	Are you planning to take a vacation soon?	We leave for Spain next month.	entailment
5743	Do you like big cities?	There are great things about city life.	entailment
5744	Do you enjoy outdoor sports?	Anytime, anyplace.	entailment
5745	Is your job difficult?	More than I thought.	entailment
5746	Is it worthwhile to buy rather than rent?	There are some serious advantages to consider.	entailment
5747	Have you made dinner plans yet?	I haven't got round to it	contradiction
5748	Do you have any furniture?	I'll need to buy some.	contradiction
5749	When you turn the key, does the starter crank?	Of course	entailment
5750	Are you a bit too into stories about post-apocalyptic wastelands?	I like to think about surviving in places like that.	entailment
5751	Do you hear clunks whenever the brakes are applied?	It's not a clunking noise.	contradiction
5752	Does the car stop when you apply the brakes?	The car keeps going when I activate the brakes.	entailment
5753	Do you enjoy Italian cuisine?	It's the best!	entailment
5754	Do you still live in the area?	I've been living abroad.	contradiction
5755	Are you enjoying your work?	I really need a vacation.	contradiction
5756	Are you offering the asking price?	I've offered above the asking price.	contradiction
5757	Is there a 12 volt+ reading at the primary coil?	No the primary coil is not reading 12V	contradiction
5758	Have you read the fifty shades of grey?	I have been avoiding that one.	contradiction
5759	Are you unhappy where you're at?	I've never felt happier.	contradiction
5760	Do you sing at karaoke bars?	I'm a terrible singer.	contradiction
5761	Do you like the neighborhood so far	I love it.	entailment
5762	Does the laptop boot normally and display the Windows Desktop?	The booting is pretty much normal.	entailment
5763	Would you like to grab lunch sometime?	I'm only passing through town.	contradiction
5764	do you have any places in mind you want to go?	Why don't you pick	contradiction
5765	Did you move from somewhere else in town	I was on the east side before.	entailment
5766	Have you looked into the housing costs?	I have just started doing that	entailment
5767	Are you into theater plays?	I enjoy everything Shakespeare.	entailment
5768	Is it similar to your current role?	It's a different department.	contradiction
5769	When you apply the brakes, does it pull the steering wheel?	It doesn't pull unnaturally when I apply the brakes. 	contradiction
5770	Do you know what time you have to leave to head back home yet?	Saturday afternoon.	entailment
5771	Have you ever been here before?	This is the first time I've stepped foot here.	contradiction
5772	Do you see the splash screen if you connect your laptop to an external working monitor?	It is hooked to the monitor. I see a splash screen.	entailment
5773	Do you get the live BIOS splash screen just after you start your computer?	I do not see it.	contradiction
5774	Have you been to a book reading lately?	I haven't for a year anyway	contradiction
5775	Is the brake warning light ON in the dashboard?	Yes, the brake light is on	entailment
5776	How about we grab some burgers for dinner?	That sounds marvelous.	entailment
5777	Do you like to hear orchestras play?	I prefer other music	contradiction
5778	Are you committed to being in the city?	I would really like to live inside the city.	entailment
5779	Do you like blueberry pie?	I prefer pumpkin.	contradiction
5780	Are you living in the city now?	I'm living just outside the city.	contradiction
5781	Is there an open circuit with your car's key in 'run/ON' position?	Actually, I do not know how to do that. I have never learned how to check for a short circuit.	neutral
5782	Still working at Macy's?	They fired me years ago.	contradiction
5783	Did you like the restaurant we went to?	It was great.	entailment
5784	Is it in a high crime area?	Based on my research, it's very safe.	contradiction
5785	Are you into trendy places?	Not really, they don't stay interesting for long.	contradiction
5786	Have you been to this area before?	I have been ages ago	entailment
5787	Are you in the mood for Chinese tonight?	Id rather an Itialian	contradiction
5788	Does your power button click when you press it down?	I just pressed my laptop's power button. It does click.	entailment
5789	Is fast food okay with you?	Burgers are good.	entailment
5790	Are you willing to do any contract work?	I prefer to be an independent contractor.	entailment
5791	Is there steaming or leak from the cooling system?	I haven't noticed anything like that. It seems to be okay.	contradiction
5792	Do you remember what we got up to as children?	We were very crazy.	entailment
5793	Do you get the live BIOS splash screen just after you start your computer?	After I fire up my computer, what will a live BIOS splash screen look like?	neutral
5794	Do you have a big budget?	I can live wherever I want with how much money I have now.	entailment
5795	Are you using your laptop on a hard and flat surface?	It is not placed on a flat surface. It is currently placed on a soft curved surface.	contradiction
5796	Is there an open circuit with your car's key in 'run/ON' position?	I can confirm there is no open circuit when the car key is placed in the run/on position.	contradiction
5797	Are you okay with spice?	The spicier, the better.	entailment
5798	Want to go to the farmer's market with me this weekend?	I love the dumplings there.	entailment
5799	Are you into gaming at all?	I like sports and adventure games.	entailment
5800	Can you smell burning or see smoke coming out of the laptop?	No, it doesn't smoke or smell.	contradiction
5801	Did you have a good day?	I've had better days.	contradiction
5802	Are you interested in going to the movies?	I prefer watching movies from home.	contradiction
5803	Do you still eat burgers?	I do like the odd burger	entailment
5804	Have you ever played a bass guitar?	I've never played any instruments.	contradiction
5805	Did you like my music CD?	I prefer listening to records.	contradiction
5806	Have you enough money to afford this flat ?	I have a lot of savings.	entailment
5807	Have you tried that Thai place around the corner?	Let's do it!	contradiction
5808	Are you happy with your work life balance?	I could use a little less life and a lot more work.	contradiction
5809	Does the car stop when you apply the brakes?	It won’t fully stop when braking. I almost hit a car in front of me.	entailment
5810	Are you going to get a place close to where you work?	That's the plan.	entailment
5811	Want to come over for coffee tomorrow?	What time?	entailment
5812	Are you a heavy sleeper?	I wake up all through the night.	contradiction
5813	Want to try my favorite restaurant ever?	I'm actually in the mood for Italian.	contradiction
5814	Have you tried the new deli in our neighborhood?	I still need to try it.	contradiction
5815	Would you like to come eat with me and my friends at our table?	Ah, it would nice to meet everyone.	entailment
5816	Are you using your laptop in a hot environment?	No, the environment is fine.	contradiction
5817	Have you read Stephen King?	I read one of his older books.	entailment
5818	Does your job involve customer service?	I interact with clients on a regular basis.	entailment
5819	Is there a spark from the ignition coil?	I just checked and the ignition coil is sparking.	entailment
5820	Have you tried the new deli in our neighborhood?	I went there for lunch yesterday.	entailment
5821	When the power supply is connected to the laptop, does the power LED flicker?	The LED doesn't do anything like that.	contradiction
5822	Are you in the mood for something sweet?	I could go for a milkshake.	entailment
5823	Think you'll visit more often?	I don't get much time off work.	contradiction
5824	Were you able to sleep during the travel?	I can never doze off on a plane.	contradiction
5825	Have you ever read The Education?	Is that the one about corporal punishment in public schools?	neutral
5826	When you turn the key, does the starter crank?	Yes, when you turn the key the starter does crank up.	entailment
5827	I'm so bored, wanna go have some fun?	I'm ready to party.	entailment
5828	Do you have a kindle?	I got one for my birthday last year.	entailment
5829	Do you like trying new activities?	I stick to my routines.	contradiction
5830	Are you looking for a job at the moment?	I have been looking	entailment
5831	Does one or more wheels drag too much?	No, none of the wheels have too much drag.	contradiction
5832	Have you listened to Tame Impala?	That doesn't ring a bell.	contradiction
5833	Did you see the last exhibit at the Met?	I haven't, but I love art!	contradiction
5834	Is it time for breakfast?	Not yet, but it will be in an hour.	contradiction
5835	Do you want to stay in tonight?	If you like	entailment
5836	Is this close to your hometown?	It is my hometown.	entailment
5837	Does anyone else know you're here?	I told my husband I was coming.	entailment
5838	Would you like alcohol or a cocktail with your meal?	I prefer to drink cocktails separate.	contradiction
5839	Can you please test if your battery is OK?	How should I perform the battery test?	neutral
5840	Can I come visit you?	I'd prefer not.	contradiction
5841	Are you a jazz buff?	I have all of Myles Davis' albums.	entailment
5842	Have any kids yet?	I don't want kids.	contradiction
5843	Are you into biographies?	I think there's a lot to learn from reading about other people.	entailment
5844	Do you need help with your luggage?	It's not very heavy.	contradiction
5845	Are you facing any issue with accessories such as wipers, radio or heater blower?	The accessories are all in working order for me.	contradiction
5846	Have you been healthy lately?	I haven't been sick in years.	entailment
5847	Does your battery run down in just a few days?	The car battery is fine.	contradiction
5848	Are you able to boot your Windows in Safe Mode?	It does not boot up in Safe Mode.	contradiction
5849	Did you enjoy the restaurant we ate at?	I loved it.	entailment
5850	Are you a lover of food and drinks?	I live to eat.	entailment
5851	Have you decided if you are coming to the pub with us?	I'll come for a little while.	entailment
5852	Does the fan turn on when the engine warms up?	That does go on when the engine heats up. 	entailment
5853	Does your battery run down in just a few days?	The voltage in the battery remains strong even after a few days.	neutral
5854	Do you like to watch murder mysteries?	I've never watched any.	neutral
5855	Would you prefer hardback books?	Paperbacks are easier to carry around.	contradiction
5856	Are you wanting a 3-bedroom?	I need room to grow!	entailment
5857	Would you need to earn more money?	I just bought a house.	entailment
5858	Does your mom still make those delicious chocolate chip cookies?	She is deceased.	contradiction
5859	Is your salary okay?	It's better than most people in that position.	entailment
5860	Do you like to read fiction books?	I used to think they were dumb but I changed my mind.	entailment
5861	Is your laptop display rotated 90 degrees or upside-down?	The laptop display is rotated quarter of the way.	entailment
5862	Have you ever been to the fair?	I was there years ago	entailment
5863	When you apply the brakes, does it pull the steering wheel?	I checked when pressing on the brakes. The steering is not being pulled.	contradiction
5864	Please plug in the AC power adapter to your laptop. Does it boot now?	The laptop doesn't start up when the power adapter is plugged in.	contradiction
5865	Do you enjoy traveling?	I'm more of stay-at-home person.	contradiction
5866	Did you get through the airport ok?	They thought I had a bomb in my bag.	contradiction
5867	Want to grab a drink?	I'm afraid I don't imbibe.	contradiction
5868	Are you facing a blinker problem such as lamps are not blinking, or it doesnt make the characteristic sound?	Yes, it makes no sound when I use it.	entailment
5869	Does your laptop boot using a Windows DVD?	Yes, when I try booting my laptop using a Windows DVD, it does switch on.	entailment
5870	Do you live around here?	Across the street.	entailment
5871	Does the laptop BIOS show that the hard drive is installed?	After checking the BIOS, it is showing the hard drive as installed.	entailment
5872	Did you go anywhere last weekend?	I visited my parents in Spain.	entailment
5873	Were you born in town?	I was born in the countryside.	contradiction
5874	Is the antifreeze level in your overflow tank up to the mark?	I do not have much knowledge of car maintenance. Thus I do not know how to check that. 	neutral
5875	Would you want to go for a walk downtown?	That sounds very nice.	entailment
5876	Is the brake fluid level OK?	The brake fluid is at correct level.	entailment
5877	Do you like soccer?	I like to watch it.	entailment
5878	You said your price range was $3,000 a month, right?	3,500 is our maximum budget.	contradiction
5879	Are you a fan of vampires?	I don't believe I am	contradiction
5880	Do you like rock and roll music?	I put it on when I need to get up and get moving.	entailment
5881	Are you going to see family this weekend?	My parents and sisters.	entailment
5882	are you married?	I'm divorced.	contradiction
5883	Are you facing any issue with accessories such as wipers, radio or heater blower?	Yes, I'm having that problem.  Some of those aren't working as they should.	contradiction
5884	Are you extroverted?	I am a very quiet and shy person.	contradiction
5885	Will this be the first time for you living in NY?	I grew up there as a child.	contradiction
5886	Do you read any fiction authors?	I edit almost all fiction.	entailment
5887	Have you ever read a book in a different language?	I can't read any other language	contradiction
5888	Want to go for a bike ride tomorrow?	Sorry, I don't have a bike.	contradiction
5889	Does the engine fire on turning the key?	No, it din't make the engine fire.	contradiction
5890	Do you smell antifreeze? It's usually a sweet smell.	I don't smell any antifreeze.	contradiction
5891	Would you like to have a balcony?	that would be ideal	entailment
5892	Please tell me if your laptop battery is overheating?	The battery doesn't get hot.	contradiction
5893	Were you able to sleep during the travel?	There was a baby screaming in the seat behind me.	contradiction
5894	Do you like to read self-help books?	I often listen to them on audiobook.	entailment
5895	Are you in the mood for Chinese tonight?	That would hit the spot.	entailment
5896	Does the AC/DC power adapter output measure up to the rated volatge?	I checked the AC/DC power adapter with a voltmeter. It is generating the proper voltage.	entailment
5897	Did you encounter a lot of traffic coming here?	Only during rush hour.	entailment
5898	Did you bring the beer?	I stay away from beer now	contradiction
5899	Do your family still live here?	My mom lives next door	entailment
5900	Are you willing to use the telephone in your role ?	I strongly dislike talking on the phone.	contradiction
5901	I have tickets to an EDM music fest, does that sound like something you would want to do	I'm not really into EDM.	contradiction
5902	Are you able to see anything on your laptop's screen?	I am looking at the laptop screen now. I can see things on the screen.	entailment
5903	Do you still live in the neighborhood?	WE moved uptown a few years ago.	contradiction
5904	Do you have friends or family in New York?	Most of my friends live there.	entailment
5905	Do you listen to a lot of music?	My music library takes up most of the room on my phone.	entailment
5906	Does the laptop boot after removing all external devices such as external keyboard, mouse and printer?	It doesn't boot up.	contradiction
5907	Has it been a long time since you've seen our old houses?	My mom sends me pictures often.	contradiction
5908	Did you enjoy today?	My mood has improved ten fold.	entailment
5909	Were you able to finish that project before end of day?	I just turned it in.	entailment
5910	Are you into experimental cuisine?	I prefer normal cuisine	contradiction
5911	Are you a Gemini?	I think I'm the other star sign	contradiction
5912	Is your coolant temperature warning light ON?	The warning light is on. I noticed the light yesterday on my way home.	entailment
5913	Did you like that Ethiopian place we tried the other day?	It was okay	neutral
5914	Are you planning on installing a pool?	I don't swim	contradiction
5915	Are you sad that you have to leave?	I will be missing everyone.	entailment
5916	Are you allowed to eat pasta on your diet?	I'm not allowed to have carbs.	contradiction
5917	Have you visited New York before?	I visited with some friends in college.	entailment
5918	Is your job well paid?	On my salary I have to live frugally.	contradiction
5919	Are you very busy these days?	Work is non-stop.	entailment
5920	Is country your favorite genre of music?	I only listen to rap.	contradiction
5921	Is your laptop's fan running when it overheats?	The fan does start running when the laptop overheats.	entailment
5922	Are you single?	I've been seriously dating for a few months now.	contradiction
5923	When the power supply is connected to the laptop, does the power LED flicker?	I can see a lot of flickering.	entailment
5924	Is the neighborhood good?	It seems all right.	entailment
5925	Would you like to exchange numbers?	Let me write mine down for you.	entailment
5926	Would you like to live near Central Park?	Going to the park every day would be a treat.	entailment
5927	Have you checked if your car's ignition timing is correct?	I measured the timing.  The timing doesn't match what is specified for my car.	contradiction
5928	Want to try Go Ape this weekend?	I need to stay in and rest until Monday.	contradiction
5929	Do you like a variety of food?	I like eating good stuff.	neutral
5930	Are you able to see anything on your laptop's screen?	The screen is glowing and shows some text after I start the laptop.	entailment
5931	Do you still live around here?	I'll probably stay here forever.	entailment
5932	Has he proposed yet?	He said he's going to when I get home.	contradiction
5933	Are you in the mood for a specific type of cuisine?	I can't decide what I'm in the mood for.	contradiction
5934	Want to eat at a restaurant?	Let's do it.	entailment
5935	Does it have two bedrooms?	It's a studio apartment.	contradiction
5936	Do you mind heights?	My vertigo is getting worse.	entailment
5937	Is the beach a place you like to spend time?	I can't get enough sunshine.	entailment
5938	Does the laptop BIOS show that the hard drive is installed?	It shows up in the BIOS of my laptop. I can see the exact date it was added.	entailment
5939	Do you enjoy going to festivals?	sometimes I do	entailment
5940	Do you get paid time off?	We get 14 days off.	entailment
5941	Do you like fantasy books?	I think they are silly	contradiction
5942	Does the LCD diaply blackout at random?	My LCD often blacks out randomly. It stops displaying anything for a short time.	entailment
5943	Does your car have a mechanical distributor?	Yes, I know there is a mechanical distributor.	entailment
5944	Do you like sports?	Playing soccer is one of my favorite pastimes.	entailment
5945	Do your parents still live in the same place?	They moved to Florida a few years back.	contradiction
5946	Would you like to go eat Italian food?	I'd rather get Chinese.	contradiction
5947	Do you see tiny dots or lines through the LCD display?	I cannot see those through the display. They do not seem to appear.	contradiction
5948	Have you started looking yet?	I've done a little looking	entailment
5949	Do you still live in the same area?	I just moved back.	entailment
5950	Do you like books by Steven King?	Christine was a classic.	entailment
5951	Would you like to join the rally this weekend?	I am busy unfortunately	contradiction
5952	Are you into musicals?	I have enjoyed many old school ones.	entailment
5953	Does your Windows boot and display the desktop?	I can see it.	entailment
5954	Did you recently upgrade your laptop's BIOS?	It's been updated recently.	entailment
5955	Did you move to Chattanooga?	I actually went to Memphis.	contradiction
5956	Is there a spark from the ignition coil?	No, after looking, there is no spark coming from the ignition coil in the car.	contradiction
5957	Does the laptop boot after removing all external devices such as external keyboard, mouse and printer?	It's not booting when I remove them.	contradiction
